Topic (Required),Topic Description (Optional),"Topic Type (Optional: 0=vocab,1=grammar,2=phrases,3=script,4=misc)",Native Text (Required),Native Context Line (Optional),Translation Text (Required),Translation Context Line (Optional),Translation Hint (Optional),Pronunciation Override (Optional)
vocab,,0,爱情,,romance,,,ài qíng
vocab,,0,安排,,to arrange,,,ān pái
vocab,,0,安全,,safe,,,ān quán
vocab,,0,暗,,to close (a door),,,àn
vocab,,0,按时,,on time,,,àn shí
vocab,,0,按照,,according to,,,àn zhào
vocab,,0,包括,,to comprise,,,bāo kuò
vocab,,0,保护,,to protect,,,bǎo hù
vocab,,0,保证,,guarantee,,,bǎo zhèng
vocab,,0,抱,,to hold,,,bào
vocab,,0,抱歉,,to be sorry,,,bào qiàn
vocab,,0,报道,,report,,,bào dào
vocab,,0,报名,,to sign up,,,bào míng
vocab,,0,倍,,(two,,,bèi
vocab,,0,本来,,original,,,běn lái
vocab,,0,笨,,stupid,,,bèn
vocab,,0,笔记本,,notebook,,,bǐ jì běn
vocab,,0,毕业,,graduation,,,bì yè
vocab,,0,遍,,everywhere,,,biàn
vocab,,0,标准,,(an official) standard,,,biāo zhǔn
vocab,,0,表达,,to voice (an opinion),,,biǎo dá
vocab,,0,表格,,form,,,biǎo gé
vocab,,0,表扬,,to praise,,,biǎo yáng
vocab,,0,饼干,,biscuit,,,bǐng gān
vocab,,0,并且,,and,,,bìng qiě
vocab,,0,博士,,doctor,,,bó shì
vocab,,0,不但,,not only (... but also...),,,bù dàn
vocab,,0,不过,,only,,,bù guò
vocab,,0,不得不,,have no choice or option but to,,,bù dé bù
vocab,,0,不管,,no matter (what,,,bù guǎn
vocab,,0,不仅,,not only (this one),,,bù jǐn
vocab,,0,部分,,part,,,bù fèn
vocab,,0,擦,,to wipe,,,cā
vocab,,0,猜,,to guess,,,cāi
vocab,,0,材料,,material,,,cái liào
vocab,,0,参观,,to look around,,,cān guān
vocab,,0,差不多,,almost,,,chà bu duō
vocab,,0,长城,,the Great Wall,,,Cháng chéng
vocab,,0,长江,,Yangtze River,,,Cháng Jiāng
vocab,,0,尝,,to taste,,,cháng
vocab,,0,场,,large place used for a specific purpose,,,chǎng
vocab,,0,超过,,to surpass,,,chāo guò
vocab,,0,吵,,to quarrel,,,chǎo
vocab,,0,乘坐,,to ride (in a vehicle),,,chéng zuò
vocab,,0,成功,,success,,,chéng gōng
vocab,,0,成熟,,mature,,,chéng shú
vocab,,0,成为,,to become,,,chéng wéi
vocab,,0,诚实,,honest,,,chéng shí
vocab,,0,吃惊,,to be startled,,,chī jīng
vocab,,0,重新,,again,,,chóng xīn
vocab,,0,抽烟,,to smoke (a cigarette,,,chōu yān
vocab,,0,出差,,to go on an official or business trip,,,chū chāi
vocab,,0,出发,,to start out,,,chū fā
vocab,,0,出生,,to be born,,,chū shēng
vocab,,0,传真,,fax,,,chuán zhēn
vocab,,0,窗户,,window,,,chuāng hu
vocab,,0,词典,,dictionary (of Chinese compound words),,,cí diǎn
vocab,,0,从来,,always,,,cóng lái
vocab,,0,粗心,,careless,,,cū xīn
vocab,,0,答案,,answer,,,dá àn
vocab,,0,打扮,,to decorate,,,dǎ ban
vocab,,0,打扰,,to disturb,,,dǎ rǎo
vocab,,0,打印,,to print,,,dǎ yìn
vocab,,0,打折,,to give a discount,,,dǎ zhé
vocab,,0,打针,,to give or have an injection,,,dǎ zhēn
vocab,,0,大概,,roughly,,,dà gài
vocab,,0,大使馆,,embassy,,,dà shǐ guǎn
vocab,,0,大约,,approximately,,,dà yuē
vocab,,0,戴,,to put on or wear (glasses,,,dài
vocab,,0,代表,,representative,,,dài biǎo
vocab,,0,代替,,instead,,,dài tì
vocab,,0,大夫,,doctor,,,dài fu
vocab,,0,当,,to be,,,dāng
vocab,,0,当地,,local,,,dāng dì
vocab,,0,当时,,then,,,dāng shí
vocab,,0,刀,,knife,,,dāo
vocab,,0,导游,,tour guide,,,dǎo yóu
vocab,,0,到处,,everywhere,,,dào chù
vocab,,0,到底,,finally,,,dào dǐ
vocab,,0,道歉,,to apologize,,,dào qiàn
vocab,,0,得意,,proud of oneself,,,dé yì
vocab,,0,等,,class,,,děng
vocab,,0,等,,class,,,děng
vocab,,0,底,,background,,,dǐ
vocab,,0,地球,,the Earth,,,dì qiú
vocab,,0,地址,,address,,,dì zhǐ
vocab,,0,掉,,to fall,,,diào
vocab,,0,调查,,investigation,,,diào chá
vocab,,0,丢,,to lose,,,diū
vocab,,0,动作,,movement,,,dòng zuò
vocab,,0,堵车,,traffic jam,,,dǔ chē
vocab,,0,肚子,,belly,,,dù zi
vocab,,0,断,,to break,,,duàn
vocab,,0,对,,couple,,,duì
vocab,,0,对,,couple,,,duì
vocab,,0,对话,,dialog,,,duì huà
vocab,,0,对面,,(sitting) opposite,,,duì miàn
vocab,,0,顿,,to stop,,,dùn
vocab,,0,朵,,flower,,,duǒ
vocab,,0,而,,and,,,ér
vocab,,0,儿童,,child,,,ér tóng
vocab,,0,发,,to send out,,,fā
vocab,,0,发生,,to happen,,,fā shēng
vocab,,0,发展,,development,,,fā zhǎn
vocab,,0,法律,,law,,,fǎ lǜ
vocab,,0,翻译,,to translate,,,fān yì
vocab,,0,烦恼,,to be worried,,,fán nǎo
vocab,,0,反对,,to fight against,,,fǎn duì
vocab,,0,反映,,to mirror,,,fǎn yìng
vocab,,0,范围,,range,,,fàn wéi
vocab,,0,方法,,method,,,fāng fǎ
vocab,,0,方面,,respect,,,fāng miàn
vocab,,0,方向,,direction,,,fāng xiàng
vocab,,0,访问,,to visit,,,fǎng wèn
vocab,,0,放弃,,to renounce,,,fàng qì
vocab,,0,放暑假,,The summer holidays,,,fàng shǔ jià
vocab,,0,分之,,(indicating a fraction),,,fēn zhī
vocab,,0,份,,classifier for gifts,,,fèn
vocab,,0,风景,,scenery,,,fēng jǐng
vocab,,0,丰富,,to enrich,,,fēng fù
vocab,,0,否则,,if not,,,fǒu zé
vocab,,0,符合,,in keeping with,,,fú hé
vocab,,0,富,,rich,,,fù
vocab,,0,负责,,to be in charge of,,,fù zé
vocab,,0,复印,,to photocopy,,,fù yìn
vocab,,0,复杂,,complicated,,,fù zá
vocab,,0,父亲,,father,,,fù qīn
vocab,,0,改变,,to change,,,gǎi biàn
vocab,,0,干杯,,to drink a toast,,,gān bēi
vocab,,0,干燥,,to dry (of weather,,,gān zào
vocab,,0,感动,,to move (sb),,,gǎn dòng
vocab,,0,感觉,,to feel,,,gǎn jué
vocab,,0,感情,,feeling,,,gǎn qíng
vocab,,0,感谢,,(express) thanks,,,gǎn xiè
vocab,,0,干,,tree trunk,,,gàn
vocab,,0,刚刚,,just recently,,,gāng gang
vocab,,0,高级,,high level,,,gāo jí
vocab,,0,个子,,height,,,gè zi
vocab,,0,各,,each,,,gè
vocab,,0,公里,,kilometer,,,gōng lǐ
vocab,,0,工具,,tool,,,gōng jù
vocab,,0,工资,,wages,,,gōng zī
vocab,,0,共同,,common,,,gòng tóng
vocab,,0,够,,to reach,,,gòu
vocab,,0,购物,,shopping,,,gòu wù
vocab,,0,孤单,,lone,,,gū dān
vocab,,0,估计,,to estimate,,,gū jì
vocab,,0,鼓励,,to encourage,,,gǔ lì
vocab,,0,鼓掌,,to applaud,,,gǔ zhǎng
vocab,,0,顾客,,client,,,gù kè
vocab,,0,故意,,deliberately,,,gù yì
vocab,,0,挂,,to hang or suspend (from a hook etc),,,guà
vocab,,0,关键,,crucial point,,,guān jiàn
